CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	10994	14335	43.40	25329
2	9956	13065	43.25	23021
3	9999	12868	43.73	22867
4	9857	12942	43.23	22799
5	9836	12539	43.96	22375
6	9617	12686	43.12	22303
7	9398	12680	42.57	22078
8	9611	12557	43.36	22168
9	9615	12495	43.49	22110
10	9410	12831	42.31	22241
11	9521	12715	42.82	22236
12	9738	12823	43.16	22561
13	9789	12898	43.15	22687
14	9668	13000	42.65	22668
15	9599	12823	42.81	22422
16	9801	12806	43.35	22607
17	9738	12852	43.11	22590
18	9686	12748	43.18	22434
19	9846	12779	43.52	22625
20	9585	12980	42.48	22565
21	9800	13260	42.50	23060
22	9518	12882	42.49	22400
23	9697	12846	43.02	22543
24	9588	12846	42.74	22434
25	9836	12753	43.54	22589
26	9766	13154	42.61	22920
27	9860	13088	42.97	22948
28	9849	13125	42.87	22974
29	9903	13062	43.12	22965
30	9887	12955	43.28	22842
31	9683	13115	42.47	22798
32	9695	12869	42.97	22564
33	9873	12944	43.27	22817
34	9462	12805	42.49	22267
35	9650	12841	42.91	22491
36	9806	12803	43.37	22609
37	9663	12842	42.94	22505
38	9954	13067	43.24	23021
39	9773	13053	42.82	22826
40	9683	13031	42.63	22714
41	9835	13042	42.99	22877
42	9578	12870	42.67	22448
43	9739	12810	43.19	22549
44	9907	12779	43.67	22686
45	9652	12991	42.63	22643
46	9750	13136	42.60	22886
47	10054	13227	43.19	23281
48	9948	12968	43.41	22916
49	9875	12966	43.23	22841
50	9915	13028	43.22	22943
51	9904	12895	43.44	22799
52	9916	13075	43.13	22991
53	9938	12764	43.78	22702
54	9841	12828	43.41	22669
55	9594	12561	43.30	22155
56	9828	12736	43.56	22564
57	9760	13009	42.87	22769
58	9929	12973	43.35	22902
59	9930	12752	43.78	22682
60	9890	13112	43.00	23002
61	9937	12903	43.51	22840
62	9725	12741	43.29	22466
63	9982	12701	44.01	22683
64	9739	12773	43.26	22512
65	9804	12688	43.59	22492
66	9824	13007	43.03	22831
67	9933	12937	43.43	22870
68	10000	12914	43.64	22914
69	9913	13010	43.24	22923
70	9992	13047	43.37	23039
71	9812	12840	43.32	22652
72	9817	12947	43.13	22764
73	9750	12684	43.46	22434
74	9986	12877	43.68	22863
75	9847	12705	43.66	22552
76	9782	12996	42.94	22778
77	9796	12828	43.30	22624
78	10029	12740	44.05	22769
79	9991	12857	43.73	22848
80	9954	13140	43.10	23094
81	10135	12876	44.04	23011
82	9947	13155	43.06	23102
83	9789	12516	43.89	22305
84	10004	12839	43.79	22843
85	9987	12983	43.48	22970
86	9969	13073	43.26	23042
87	9832	13023	43.02	22855
88	9954	12784	43.78	22738
89	9908	12890	43.46	22798
90	9684	12849	42.98	22533
91	9911	12897	43.45	22808
92	9896	12900	43.41	22796
93	9926	12975	43.34	22901
94	9903	12605	44.00	22508
95	9838	12862	43.34	22700
96	9801	12891	43.19	22692
97	9911	12966	43.32	22877
98	10073	12912	43.82	22985
99	9927	13081	43.15	23008
100	9899	12626	43.95	22525
101	10014	12887	43.73	22901
102	9988	12969	43.51	22957
103	10039	12945	43.68	22984
104	10096	12807	44.08	22903
105	9837	13029	43.02	22866
106	9698	12786	43.13	22484
107	9992	12908	43.63	22900
108	9934	12883	43.54	22817
