CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	56409	17425	76.40	73834
2	53578	15471	77.59	69049
3	51604	14675	77.86	66279
4	50382	15231	76.79	65613
5	49845	15034	76.83	64879
6	48123	14968	76.28	63091
7	49262	14624	77.11	63886
8	48136	14531	76.81	62667
9	49557	14911	76.87	64468
10	48970	14889	76.68	63859
11	49399	15044	76.66	64443
12	48692	14815	76.67	63507
13	49644	15187	76.57	64831
14	49011	15133	76.41	64144
15	49292	14703	77.02	63995
16	49380	14804	76.94	64184
17	49477	14800	76.97	64277
18	48979	14829	76.76	63808
19	49650	15235	76.52	64885
20	50124	14939	77.04	65063
21	49689	15242	76.53	64931
22	49614	15072	76.70	64686
23	49543	15000	76.76	64543
24	49420	14813	76.94	64233
25	49697	15252	76.52	64949
26	49705	15073	76.73	64778
27	49636	15119	76.65	64755
28	50206	15238	76.72	65444
29	49741	15097	76.72	64838
30	49368	15136	76.53	64504
31	49017	14777	76.84	63794
32	49114	14915	76.71	64029
33	49361	14597	77.18	63958
34	49103	14785	76.86	63888
35	49296	14547	77.21	63843
36	49429	15145	76.55	64574
37	49811	15084	76.76	64895
38	50253	14945	77.08	65198
39	49827	14876	77.01	64703
40	49295	14761	76.96	64056
41	49849	14895	76.99	64744
42	49866	15129	76.72	64995
43	50001	14957	76.97	64958
44	49207	14893	76.77	64100
45	49563	14876	76.91	64439
46	49398	14831	76.91	64229
47	50798	15282	76.87	66080
48	50269	14795	77.26	65064
49	49907	14838	77.08	64745
50	49789	14920	76.94	64709
51	50775	14569	77.70	65344
52	50193	14977	77.02	65170
53	50070	15087	76.85	65157
54	49164	14711	76.97	63875
55	49004	14610	77.03	63614
56	50384	14764	77.34	65148
57	50511	14809	77.33	65320
58	49872	14763	77.16	64635
59	50073	14974	76.98	65047
60	49887	14548	77.42	64435
61	49951	15132	76.75	65083
62	49487	14793	76.99	64280
63	49926	14659	77.30	64585
64	49916	14783	77.15	64699
65	49545	14478	77.39	64023
66	49699	14782	77.08	64481
67	50357	14770	77.32	65127
68	49873	14659	77.28	64532
69	50314	14834	77.23	65148
70	50614	15044	77.09	65658
71	50012	14718	77.26	64730
72	49961	14741	77.22	64702
73	49485	14872	76.89	64357
74	50387	14665	77.46	65052
75	49716	14544	77.37	64260
76	49673	14643	77.23	64316
77	49744	14728	77.16	64472
78	50313	14838	77.23	65151
79	50209	14615	77.45	64824
80	50314	14876	77.18	65190
81	50725	14738	77.49	65463
82	49939	14655	77.31	64594
83	50190	14686	77.36	64876
84	50603	14937	77.21	65540
85	50545	14721	77.44	65266
86	50491	14836	77.29	65327
87	50531	14849	77.29	65380
88	49986	14775	77.19	64761
89	49766	14471	77.47	64237
90	50012	14644	77.35	64656
91	50210	14727	77.32	64937
92	49850	14651	77.29	64501
93	50332	14565	77.56	64897
94	49698	14657	77.22	64355
95	50267	14713	77.36	64980
96	50822	14803	77.44	65625
97	50345	14919	77.14	65264
98	50589	14790	77.38	65379
99	50231	14689	77.37	64920
100	50358	14706	77.40	65064
101	50385	14791	77.31	65176
102	50149	14681	77.35	64830
103	50296	14802	77.26	65098
